iter	Passed	Remaining
0	141	141581
1	143	71823
2	146	48616
3	148	36982
4	150	29944
5	153	25351
6	154	21974
7	156	19439
8	158	17467
9	160	15906
10	162	14631
11	165	13598
12	167	12694
13	169	11914
14	170	11223
15	172	10627
16	174	10089
17	175	9598
18	177	9166
19	178	8762
20	180	8397
21	181	8056
22	182	7743
23	183	7451
24	184	7190
25	185	6933
26	186	6703
27	186	6490
28	187	6289
29	188	6099
30	189	5928
31	190	5763
32	191	5607
33	192	5463
34	193	5323
35	193	5192
36	195	5075
37	195	4960
38	196	4849
39	197	4741
40	198	4645
41	199	4557
42	200	4470
43	201	4386
44	202	4304
45	203	4224
46	204	4148
47	205	4080
48	206	4013
49	207	3946
50	208	3882
51	209	3819
52	210	3758
53	211	3701
54	212	3646
55	213	3592
56	214	3541
57	215	3493
58	216	3446
59	217	3401
60	217	3355
61	218	3309
62	219	3266
63	220	3225
64	221	3185
65	222	3145
66	223	3108
67	223	3065
68	224	3030
69	225	2996
70	226	2962
71	227	2930
72	228	2898
73	229	2868
74	230	2838
75	231	2808
76	231	2779
77	232	2752
78	233	2725
79	234	2698
80	235	2672
81	236	2648
82	237	2623
83	238	2599
84	238	2572
85	240	2552
86	240	2526
87	241	2505
88	242	2483
89	243	2463
90	244	2442
91	245	2422
92	246	2402
93	247	2383
94	248	2363
95	249	2346
96	250	2328
97	251	2311
98	252	2293
99	253	2277
100	253	2260
101	254	2240
102	255	2222
103	256	2206
104	256	2190
105	257	2173
106	258	2158
107	259	2143
108	260	2129
109	261	2115
110	262	2101
111	263	2086
112	264	2072
113	264	2057
114	265	2044
115	266	2031
116	267	2018
117	268	2006
118	269	1992
119	270	1980
120	271	1969
121	272	1957
122	272	1943
123	273	1931
124	274	1920
125	275	1908
126	276	1897
127	276	1884
128	277	1873
129	278	1862
130	279	1852
131	280	1842
132	280	1830
133	281	1820
134	282	1809
135	283	1799
136	284	1790
137	284	1779
138	285	1770
139	286	1761
140	287	1751
141	288	1742
142	289	1734
143	290	1725
144	290	1715
145	291	1707
146	292	1698
147	293	1689
148	294	1681
149	295	1673
150	296	1664
151	296	1656
152	297	1648
153	298	1640
154	299	1631
155	300	1624
156	301	1616
157	301	1608
158	302	1600
159	303	1592
160	304	1585
161	304	1577
162	305	1570
163	306	1563
164	307	1556
165	308	1550
166	309	1542
167	310	1536
168	311	1529
169	312	1523
170	312	1517
171	313	1510
172	314	1504
173	315	1498
174	316	1492
175	317	1486
176	318	1480
177	319	1474
178	320	1468
179	321	1463
180	321	1455
181	322	1448
182	323	1443
183	324	1437
184	325	1432
185	325	1426
186	326	1420
187	327	1415
188	328	1409
189	329	1404
190	330	1399
191	331	1393
192	332	1388
193	333	1383
194	333	1378
195	334	1373
196	335	1368
197	336	1363
198	337	1358
199	338	1353
200	339	1348
201	340	1343
202	341	1338
203	342	1334
204	342	1329
205	343	1325
206	344	1320
207	345	1315
208	346	1311
209	347	1306
210	348	1301
211	353	1312
212	353	1307
213	354	1303
214	355	1298
215	356	1294
216	357	1290
217	358	1285
218	359	1281
219	360	1277
220	361	1272
221	362	1268
222	362	1264
223	363	1260
224	364	1255
225	365	1252
226	366	1248
227	367	1244
228	368	1239
229	369	1236
230	370	1232
231	371	1228
232	371	1224
233	372	1220
234	373	1216
235	374	1212
236	375	1208
237	376	1205
238	377	1201
239	378	1197
240	379	1194
241	380	1190
242	380	1186
243	381	1183
244	382	1179
245	383	1175
246	384	1172
247	385	1168
248	386	1165
249	387	1161
250	388	1157
251	388	1154
252	389	1150
253	390	1147
254	391	1143
255	392	1139
256	393	1136
257	393	1133
258	394	1129
259	395	1126
260	396	1122
261	397	1119
262	398	1115
263	399	1112
264	399	1109
265	400	1106
266	401	1103
267	402	1100
268	403	1096
269	404	1093
270	405	1090
271	406	1086
272	406	1083
273	407	1080
274	408	1077
275	409	1074
276	410	1070
277	411	1067
278	411	1064
279	412	1061
280	413	1058
281	414	1055
282	415	1052
283	416	1049
284	417	1046
285	417	1043
286	418	1040
287	419	1037
288	420	1034
289	421	1031
290	422	1028
291	423	1025
292	423	1022
293	424	1020
294	425	1017
295	426	1014
296	427	1011
297	428	1008
298	429	1005
299	429	1002
300	430	1000
301	431	997
302	432	994
303	433	991
304	434	989
305	435	986
306	435	984
307	436	981
308	437	978
309	438	975
310	439	973
311	440	970
312	441	968
313	441	965
314	442	962
315	443	959
316	444	957
317	445	954
318	445	952
319	446	949
320	447	946
321	448	944
322	449	941
323	450	939
324	451	936
325	451	934
326	452	931
327	453	929
328	454	926
329	455	924
330	456	921
331	456	919
332	457	916
333	458	914
334	459	911
335	460	909
